,star_name,distance,radius,mass,lum,,Star_name,Distance,Radius,Mass
0,Sun,0.000015813,1,1,1
1,Sirius,0008.6,1.71´,2.1,25.4
2,Canopus,0310,71,15,"13,500"
3,Alpha Centauri,0004.4,1.2,1.1,2
4,Arcturus,0037,26,1.1,170
5,Vega,0025,2.7,2.2,50
6,Capella,0043,12,2.6,150
7,Rigel,0860,78.9,23,"120,000"
8,Procyon,0011.4,1.9,1.5,7.7
9,Betelgeuse,0640[1],950,20,"60,000"
10,Achernar,0144,9.3,6.7,"3,000"
11,Hadar,0390,8.6,10.5,"42,000"
12,Altair,0017,1.8,1.8,10.5
13,Acrux,0320,8.9,18,"25,000"
14,Aldebaran,0065,44,1.5,520
15,Antares,0600,680,12,"75,000"
16,Spica,0260,7.47,11.43,"20,512"
17,Pollux,0034,8.8,1.9,43
18,Fomalhaut,0025,1.8,1.9,16.6
19,Deneb,"2,600",203,19,"200,000"
20,Mimosa,0350,8.4,16,"34,000"
21,Regulus,0077,3.1,3.8,290
22,Adhara,0430,14,12.5,"39,000"
23,Shaula,0700,8.8,14.5,"36,000"
24,Castor,0052,2.4,2.8,30
25,Gacrux,0088,84,1.5,820
26,Bellatrix,0240,5.8,8.6,"9,200"
27,Elnath,0130,4.2,5.0,700
28,Miaplacidus,0110,6.8,3.5,290
29,Alnilam,"2,000",42,32,"380,000"
30,Gamma Velorum,"01,100",6,9.0,"170,000"
31,Alnair,0101,3.4,4.0,260
32,Alioth,0081,4.2,2.9,110
33,Alnitak,01050,20,33,"120,000"
34,Dubhe,0120,30,4.25,300
35,Mirfak,0590,68,8.5,"5,000"
36,Wezen,"1,600",200,17,"82,000"
37,Sargas,0270,26,5.7,"1,800"
38,Kaus Australis,0140,6.8,3.5,360
39,Avior,0630,130,9.0,"60,000"
40,Alkaid,0104,3.4,6.1,"1,350"
41,Menkalinan,081,2.77,2.39,50
42,Atria,0390,92,7,"5,500"
43,Alhena,0109,3.3,2.8,120
44,Peacock,0180,4.8,5.9,"2,200"
45,Alsephina[2],0080,2.9,2.4,90
46,Mirzam,0500,10,13.5,"27,000"
47,Polaris,0430,39,5.4,"2,500"
48,Alphard,0180,50,3.0,780
49,Mintaka,01200,16.5,24,"190,000"
50,Scheat,0196,95,2.1,"1,500"
51,Almaaz,0653,140,15,"43,000"
52,Rasalgethi,0360,280,2.8,"8,300"
53,Tau Ceti,011.9,0.893,0.783,0.52
54,Delta Pavonis,019.92,1.22,0.991,1.22
55,Ran,010.48,0.74,0.82,0.34
56,V382 Carinae,"08,900",485,20,"212,000"
57,Eta Carinae,"07,500",60–881,100,"5,000,000"
58,Delta Cephei,0887,44.5,4.5,"2,000"
59,Mu Cephei,"06,000",972,19.2,"135,000"
60,Titawin,044.25,1.48,1.27,3.57
61,Rho Cassiopeiae,"08,154",636-981,22,"347,000 - 530,000"
62,P Cygni,"05,545",76,30,"610,000"
63,La Superba,"01,000",129 - 342,,"2,472 - 5,800"
64,VV Cephei,"04,900","516 - 1,050",18.2,"200,000"
65,61 Cygni,011.41,0.665,0.7,0.153
66,R Doradus,0178,298,0.7 - 1.0,"4,350"
67,Polaris Australis,0281,3.74,1.59,38
68,R Coronae Borealis,"04,566",85,0.85,"10,000"
69,54 Piscium,036.1,0.94,0.76,0.52
70,Mira,0300,370,1.2,"9,000"
71,RW Cephei,"014,000","1,158",13.9,"417,000"
72,Lacaille 8760,012.87,0.51,0.6,0.072
73,V838 Monocerotis,"019,896",380 - 750,?,"15,000"
74,HD 140283,0190,1.4,?,3.83
75,II Pegasi,0130,3.4,0.8,1.06
76,VY Canis Majoris,"03,900","1,420",17,"178,000 - 270,000"
77,Pistol Star,"025,000",320,100,"1,700,000"
78,S Doradus,"0169,000",380,24,"910,000"
79,UY Scuti,"05,100",755,7–10,"86,300 - 87,100"
80,Barnard's Star,05.98,0.20,0.14,0.0035
81,Luhman 16,06.52,?,0.04,?
82,Proxima Centauri,04.25,0.15,0.12,0.0017
83,KIC 8462852,"01,470",1.58,1.43,4.68
84,R136a1,"0163,000",32,290,"8,710,000"
85,Melnick 42,"0163,000",21.1,189,"3,600,000"
86,WR 102,"018,134",0.39,19,"282,000"
87,VFTS 352,"0164,000",14.47,57.48,"330,000"
88,YBP 1194,"02,772",0.99,1.01,0.98
89,Gliese 1214,047.5,0.21,0.16,0.0033
90,NML Cygni,"05,251","1,640 - 2,770",50,"229,000"
91,VB 10,018.72,0.10,0.075,0.0004
92,WOH G64,"0163,000","1,540 - 1,730",<20,"340-589,000"
93,TRAPPIST-1,039.6,0.12,0.089,0.0005
94,2MASS J0523-1403,040.3,0.086,0.07,0.00013
95,WISE 0855−0714,07.27,?,0.003,?
96,Icarus,"014,400,000,000",?,33,"850,000"
0,SDSS J000013.54+255418.6 [de],46.1,0.99,48
1,2MASS J00040288-6410358,192,1.63,19
2,LHS 102BC,,,
3,2MASS J00242463-0158201,37.7,1.09,79
4,2MASS J00250365+4759191AB,143,,
5,2MASS J00274197+0503417,236,1.44,31
6,2MASS J00275592+2219328,46.9,,
7,2MASSW J0030300-145033,87.2,0.98,54
8,2MASS J00332386-1521309 [de],131,1.43,29
9,2MASS J00345157+0523050,31,0.94,42
10,2MASS 0036+1821,28.6,0.94,42
11,2MASSW J0045214+163445,57,1.62,23
12,WISEP J004701.06+680352.1 [fr],40,1.3,12
13,2MASS J00501994-3322402 [de],34,0.94,40
14,2MASS J00034227-2822410,,,
15,2MASS J00584253-0651239 [de],96,1.43,29
16,CFBDS J005910.90–011401.3,30,,23
17,2MASSI J0103320+193536,70,0.98,52
18,SDSSp J010752.33+004156.1 [de],51,0.98,52
19,2MASSI J0117474-340325 [de],163,1.62,20
20,2MASS J01415823-4633574 [de],130,1.61,20
21,SDSS J015141.69+124429.6,70,0.97,47
22,DENIS-P J020529.0−115925A,65,,
23,DENIS-P J020529.0−115925B,65,,
24,DENIS-P J020529.0−115925C,65,,
25,SDSS J020742.48+000056.2 [de],111,0.97,47
26,2MASS J02103857-3015313,101,1.53,15
27,2MASS J02340093-6442068,155,1.62,20
28,2MASS J02411151-0326587 [de],152,1.41,27
29,2MASS J02431371−2453298,35,0.99,33
30,LP 771-21,53,1.08,78
31,2MASS J02511327+0047364,,,
32,Teegarden's star,12.578,1.27,80
33,2MASS J02535980+3206373,184,1.9,65
34,WISE J0254+0223,24,1.9,65
35,DEN 0255-4700,16.2,0.97,80
36,2MASS J03185403-3421292 [de],45,0.97,49
37,2MASS J03205965+1854233,47,1.15,88
38,2MASS J03231002-4631237,192,1.66,23
39,SDSS J032553.17+042540.1,59,0.95,45
40,2MASS J03264225-2102057 [de],80,1.3,18
41,2MASS J03284265+2302051 [de],98,0.98,54
42,2MASS J03341218-4953322,27.0,1.04,73
43,LP 944-20,20.9,1.43,73
44,2MASP J0345432+254023,88,1.05,74
45,Teide 1,380,3.78,55
46,2MASS J03510004-0052452,48,1.27,102
47,2MASS J03552337+1133437,29.8,1.32,20
48,DENIS-P J035726.9-441730 [de],130,,
49,2MASS J04151954−0935066,18.6,0.95,30
50,SDSSp J042348.57-041403.5 [de],50,,
51,2MASS J04285096-2253227 [de],85,1.09,80
52,2MASS J04351612-1606574,34,1.26,100
53,2MASS J04362788-4114465,142,1.97,39
54,2MASS J04390101-2353083 [de],29.5,0.97,48
55,2MASS J04414489+2301513,470,,19
56,2MASS J04433764+0002040,82,1.78,22
57,2MASS J04455387-3048204 [de],42,1.00,64
58,2MASS J04510093-3402150 [de],69,72,1.04
59,2MASS J05002100+0330501 [de],44,1.00,64
60,2MASS J05012406-0010452 [de],64,1.38,21
61,2MASS J05160945-0445499 [de],73,0.97,47
62,2MASS J0523−1403,40,1.01,68
63,2MASS 0532+8246,81,,83
64,SDSS J053951.99-005902.0,41.62,1.01,61
65,2MASS J05591914-1404488 [de],34,,
66,LSR 0602+3910 [de],34.6,1.41,28
67,2MASS J06085283-2753583,102,1.51,38
68,WISEP J061135.13-041024.0A,69,,65
69,WISEP J061135.13-041024.0B,69,,53
70,2MASS J06244595-4521548 [de],39,0.99,56
71,2MASS J06411840-4322329 [de],65,1.01,67
72,DENIS-P J0652197-253450 [de],51,1.05,75
73,2MASS J07003664+3157266 [de],40,,
74,2MASS J07075327-4900503,60,1.03,72
75,UGPS J072227.51-054031.2,13.4,0.98,26
76,2MASSI J0727182+171001 [de],29.6,0.94,41
77,2MASS J07290002-3954043 [de],25.8,0.94,37
78,SDSS J074201.41+205520.5 [de],49,0.94,43
79,2MASS J0746425+200032 [fr],49.6,,
80,DENIS-P J0751164-253043 [de],55,1.03,71
81,2MASS J07522390+1612157,60,68,2.01
82,DENIS J081730.0-615520,16.1,0.94,44
83,DENIS J082303.1−491201A,67,,44
84,DENIS J082303.1−491201B,67,,28
85,2MASS J08251968+2115521 [de],35,0.98,52
86,SDSSp J083008.12+482847.4 [de],43,0.99,48
87,LHS 2021,55,1.15,88
88,SDSS J083048.80+012831.1 [de],77,0.96,46
89,2MASSI J0835425-081923 [de],23.53,1.00,62
90,2MASSI J0847287-153237 [de],43,1.00,64
91,2MASS J08533619-0329321,27.6,1.07,77
92,2MASSI J0859254-194926 [de],50,0.98,50
93,2MASSW J0920122+351742 [de],95,,
94,2MASSI J0937347+293142,20.0,0.94,42
95,2MASS 0939−2448,17.4,0.95,32
96,2MASS J09490860-1545485 [de],59,0.96,49
97,2MASS J10073369-4555147,46,0.94,44
98,2MASSI J1010148-040649 [de],55,0.98,51
99,2MASSI J1017075+130839 [de],108,,
100,SDSS J102109.69-030420.1,95,,
101,2MASS J10224821+5825453 [de],60,1.41,27
102,2MASSW J1036530-344138 [de],53,0.97,49
103,2MASS J1047538+212423 [de],34.4,0.94,42
104,DEN 1048-3956,13.15,1.07,77
105,Luhman 16B,6.516,1.02,43
106,Luhman 16A,6.516,1.01,40
107,DENIS-P J1058.7−1548,49,1.00,64
108,TWA 28,180,2.39,36
109,Cha 110913-773444,163,1.8,8
110,OTS 44,554,,15
111,SDSS J111010.01+011613.1,63,1.24,9
112,2MASS J11145133−2618235,18.2,0.96,33
113,TWA 26,137,2.20,30
114,2MASSW J1146345+223053,89,,
115,2MASS J11544223-3400390 [de],129,1.50,37
116,2MASSW J1155395-372735 [de],31,1.00,64
117,TWA 27A,,,
118,TWA 27B,,,
119,2MASS J12074836-3900043,217,1.71,17
120,2MASSI J1217110-031113 [de],36,0.94,42
121,2MASS J12255432-2739466,43,,
122,DENIS-P J1228.2-1547,66,,
123,2M 1237+6526,45.6,0.94,41
124,2MASSW J1239272+551537 [de],119,,
125,TWA 29,262,25,2.00
126,SDSSp J125453.90-012247.4 [de],38,0.98,47
127,Kelu-1A,61,0.98,63
128,Kelu-1B,61,0.98,58
129,2MASS J13204427+0409045,101,1.01,67
130,SDSSp J132629.82-003831.5 [de],65,0.97,51
131,SDSSp J134646.45-003150.4 [de],48,0.94,44
132,2MASS J13595510-4034582,51,1.00,63
133,ULAS J141623.94+134836.3,29.7,0.96,32
134,SDSS J141659.78+500626.4 [de],149,0.99,59
135,DENIS-P J142527.97-365023.4 [de],38,1.32,21
136,LHS 2924,38.5,1.06,76
137,2MASS J14392837+1929150,47,1.03,72
138,LSPM J1440+1339,72,1.19,92
139,2MASS J14482563+1031590 [de],47,0.99,59
140,CFBDSIR 1458+10A,104,1.5,11.1
141,CFBDSIR 1458+10B,104,1.3,9
142,TVLM 513-46546,35.1,1.05,75
143,2MASS 1503+2525,20.7,0.94,44
144,CFBDS J150411+102717,71,0.94,44
145,2MASSW J1506544+132106 [de],46,1.02,69
146,2MASS 1507−1627,23.9,0.99,60
147,TVLM 868-110639,53,1.08,79
148,SDSS J151114.66+060742.9 [de],89,,
149,2MASSW J1515008+484742 [de],34,0.99,57
150,2MASSI J1526140+204341 [de],67,0.98,54
151,DENIS-P J153941.96-052042.4 [de],51,1.00,63
152,2MASS J15462718-3325111 [de],37,0.94,44
153,2MASSW J1552591+294849 [de],68,1.43,30
154,2MASSW J1555157-095605 [de],44,1.03,71
155,2MASS J16150413+1340079 [de],48,0.94,42
156,SDSSp J162414.37+002915.6 [de],36,0.94,43
157,2MASS J16262034+3925190 [de],110,1.03,71
158,2MASSW J1632291+190441 [de],50,0.97,49
159,WISEPA J164715.59+563208.2,28,0.94,41
160,LSPM J1658+7027 [de],60,1.04,73
161,2MASSI J1726000+153819,114,1.40,24
162,2MASSW J1728114+394859,79,,
163,SDSSp J175032.96+175903.9,90,0.97,47
164,2MASS J18283572-4849046,39,0.95,45
165,LSR J1835+3259,18.5,1.07,77
166,2MASSW J1841086+311727,138,1.01,67
167,2MASS J18432213+4040209,46,1.22,96
168,2MASS J20004841-7523070,105,1.88,25
169,SDSS J204749.61-071818.3,65,0.96,46
170,2MASSI J2057540-025230,47,1.02,70
171,2MASSW J2101154+175658,108,,
172,2MASSI J2104149-103736,62,1.02,69
173,PSO J318.5−22,80,1.53,6.5
174,HB 2124-4228,113,1.21,94
175,2MASS J21392676+0220226,32.1,0.96,46
176,2MASS J21481628+4003593,26.3,0.99,55
177,2MASS J14112131-2119503,,,
178,2MASSW J2206450-421721,93,1.33,22
179,2MASSW J2208136+292121,154,1.41,27
180,2MASSW J2224438-015852,38,0.99,61
181,2MASS J22282889-4310262,35,0.94,42
182,2MASS J22373255+3922398,64,1.04,73
183,2MASSW J2244316+204343,56,1.29,12
184,2MASS J23224684-3133231,56,1.39,24
185,2MASS J23225299-6151275,148,1.59,17
186,2MASS J23515044-2537367,67,1.16,88
187,2MASSI J2356547-155310,74,1.09,80
188,WISE 0005+3737,23.2,,
189,WISE 0008-1739,87.1,,
190,WISE 0015-4615,48.6,,
191,WISE 0031-3840,71.8,,
192,WISE 0032-4946,62.9,,
193,WISE 0038+2758,36.9,,
194,WISE 0038+8405,101.8,,
195,WISE 0040+0900,47.6,,
196,WISE 0049+0441,62.6,,
197,WISE 0049+2151,24.1,,
198,WISE 0106+1518,142.9,,
199,WISE 0123+4142,67.2,,
200,WISE 0135+1715,77.3,,
201,WISE 0138-0322,57.7,,
202,WISE 0146+4234,20.5,,
203,WISE 0148-7202,30,,
204,WISE 0150+3827,61.3,,
205,WISE 0206+2640,58.4,,
206,WISE 0221+3842,73.1,,
207,WISE 0223-2932,47,,
208,WISE 0226-0211,91,,
209,WISE 0241-3653,53.8,,
210,WISE 0245-3450,56.1,,
211,WISE 0247+3725,57.1,,
212,WISE 0305+3954,75,,
213,WISE 0307+2904,82.8,,
214,WISE 0313+7807,28,,
215,WISE 0316+4307,106.3,,
216,WISE 0321-7347,84.8,,
217,WISE 0323-6025,45.3,,
218,WISE 0325-3854,51.2,,
219,WISE 0325+0831,36.5,,
220,WISE 0333-5856,54.8,,
221,WISE 0335+4310,45.7,,
222,WISE 0336-0143,55.4,,
223,WISE 0350-5658,17.7,,
224,WISE 0359-5401,19.2,,
225,WISE 0410+1502,20,1.17,6
226,WISE 0410+1411,85.8,,
227,WISE 0413-4750,66.2,,
228,WISE 0448-1935,69.8,,
229,WISE 0458+6434A,35.9,4.2,15
230,WISE 0458+6434B,35.9,3.8,10
231,WISE 0500-1223,47,,
232,WISE 0513+0608,44.7,,
233,WISE 0525+6739,98.2,,
234,WISE 0528-3308,57.4,,
235,WISE 0535-7500,47,,
236,WISE 0539-1034,84.8,,
237,WISE 0542-1628,50.6,,
238,WISE 0607+2429,25.4,,
239,WISE 0611-0410,57.7,,
240,WISE 0612-4920,95.2,,
241,WISE 0612-3036,64.9,,
242,WISE 0614+3912,50.2,,
243,WISE 0614+0951,51.5,,
244,WISE 0623-0456,37.5,,
245,WISE 0625+5646,67.2,,
246,WISE 0627-1114,37.2,,
247,WISE 0647-6232,28,,
248,WISE 0656+4205,54.1,,
249,WISE 0713-2917,23.2,,
250,WISE 0723+3403,45.7,,
251,WISE 0733+7544,78.3,,
252,WISE 0734-7157,34.9,,
253,WISE 0744+5628,47.3,,
254,WISE 0750+2725,51.5,,
255,WISE 0751-7634,39.1,,
256,WISE 0759-4904,38.8,,
257,WISE 0811-8051,32,,
258,WISE 0812+4021,63.6,,
259,WISE 0819-0335,46,,
260,WISE 0821+1443,68.2,,
261,WISE 0836-1859,72.4,,
262,WISE 0857+5604,42.1,,
263,WISE 0906+4735,51.5,,
264,WISE 0929+0409,64.9,,
265,WISE 0952+1955,72.1,,
266,WISE 1018-2445,47.6,,
267,WISE 1019+6529,56.8,,
268,WISE 1039-1600,47.3,,
269,WISE 1042-3842,53.2,,
270,WISE 1051-2138,40.8,,
271,WISE 1122+2550,57.7,,
272,WISE 1124-0421,50.6,,
273,WISE 1147-2040,102,,
274,WISE 1150+6302,32.9,,
275,WISE 1217+1626A,34.2,,12
276,WISE 1217+1626B,34.2,,6
277,WISE 1225-1013,55.4,,
278,WISE 1311+0122,44.4,,
279,WISE 1311+3629,86.1,,
280,WISE 1318-1758,32.9,,
281,WISE 1320+6034,56.1,,
282,WISE 1322-2340,33.9,,
283,WISE 1348+6603,91,,
284,WISE 1405+5534,25.3,0.86,30
285,WISE 1433-0837,84.8,,
286,WISE 1436-1814,60,,
287,WISE 1457+5815,52.2,,
288,WISE 1506+7027,11.1,,
289,WISE 1517+0529,72.4,,
290,WISE 1519+7009,50.9,,
291,WISE 1523+3125,84.5,,
292,WISE 1541-2250,20,,
293,WISE 1542+2230,41.1,,
294,WISE 1612-3420,55.4,,
295,WISE 1614+1739,32.6,,
296,WISE 1617+1807,50.2,,
297,WISE 1622-0959,52.2,,
298,WISE 1627+3255,50.2,,
299,WISE 1639-6847,16.3,,
300,WISE 1647+5632,28,,
301,WISE 1653+4444,39.5,,
302,WISE 1711+3500,60.3,,
303,WISE 1717+6129,72.7,,
304,WISE 1721+1117,62.3,,
305,WISE 1728+5716,97.8,,
306,WISE 1738+2732,20,,
307,WISE 1741+2553,18.9,,
308,WISE 1746-0338,83.8,,
309,WISE 1800+0134,28.7,,57
310,WISE 1804+3117,30,,
311,WISE 1809+3838,74.4,,
312,WISE 1812+2721,47,,
313,WISE 1828+2650,36,,
314,WISE 1830+4542,107,,
315,WISE 1841+7000,131.1,,
316,WISE 1852+3537,55.4,,
317,WISE 1906+4508,51.5,,
318,WISE 1928+2356,22.8,,
319,WISE 1952+7240,44.4,,
320,WISE 1959-3338,37.2,,
321,WISE 2030+0749,34.2,,
322,WISE 2014+0424,96.2,,
323,WISE 2015+6646,50.6,,
324,WISE 2018-7423,47.9,,
325,WISE 2019-1148,42.4,,
326,WISE 2056+1459,24.5,,
327,WISE 2134-7137,42.7,,
328,WISE 2157+2659,61.6,,
329,WISE 2209-2734,46,,
330,WISE 2213+0911,58.7,,
331,WISE 2220-3628,26.4,,
332,WISE 2226+0440,45,,
333,WISE 2237-0614,53.5,,
334,WISE 2237+7228,46,,
335,WISE 2239+1617,59.7,,
336,WISE 2255-3118,44.7,,
337,WISE 2301+0216,60.7,,
338,WISE 2313-8037,35.9,,
339,WISE 2319-1844,52.2,,
340,WISE 2325-4105,37.5,,
341,WISE 2327-2730,70.8,,
342,WISE 2335+4222,90.3,,
343,WISE 2340-0745,37.8,,
344,WISE 2342+0856,51.2,,
345,WISE 2343-7418,48.6,,
346,WISE 2344+1034,46,,
347,WISE 2348-1028,54.1,,
348,WISE 2357+1227,54.8,,
349,WISE 2359-7335,42.7,,
350,WISEA 1101+5400,111,,
351,2M1510,120,,40 + 39 + ?
